Gordo,PROPN,ADJ,2
gordo,PROPN,ADJ,5
SW,PROPN,NOUN,12
SWING,PROPN,NOUN,9
#CPI,PROPN,NOUN,2
#CPI,PROPN,NOUN,9
#USDBRL,PROPN,NOUN,10
AGE,PROPN,NOUN,1
Age,PROPN,NOUN,2
Age,PROPN,NOUN,4
Age,PROPN,NOUN,8
Ago,PROPN,NOUN,0
Ago,PROPN,NOUN,2
Ago,PROPN,NOUN,2
Ago,PROPN,NOUN,6
Ago,PROPN,NOUN,6
Ago,PROPN,NOUN,6
Ago,PROPN,NOUN,8
Ago,PROPN,NOUN,8
Ago,PROPN,NOUN,9
Ago,PROPN,NOUN,9
Ago,PROPN,NOUN,10
Ago,PROPN,NOUN,10
Ago/e,PROPN,NOUN,4
Ago/e,PROPN,NOUN,4
Ago/e,PROPN,NOUN,4
ago/e,PROPN,NOUN,4
Ago/e,PROPN,NOUN,7
ago/e,PROPN,NOUN,7
Ago/e,PROPN,NOUN,8
Ago/e,PROPN,NOUN,8
Ago/e,PROPN,NOUN,8
Ago/e,PROPN,NOUN,9
Ago/e,PROPN,NOUN,10
Ago/e,PROPN,NOUN,10
ago/e,PROPN,NOUN,11
Ago/e,PROPN,NOUN,11
AT,PROPN,NOUN,2
AT,PROPN,NOUN,9
AT,PROPN,NOUN,9
b.,PROPN,NOUN,4
BBB,PROPN,NOUN,1
BBB,PROPN,NOUN,3
BBB14,PROPN,NOUN,1
Boi,PROPN,NOUN,2
Boi,PROPN,NOUN,5
bx,PROPN,NOUN,1
C.a.,PROPN,NOUN,6
C.a.,PROPN,NOUN,11
C13,PROPN,NOUN,9
Ca,PROPN,NOUN,0
Ca,PROPN,NOUN,1
Ca,PROPN,NOUN,3
Ca,PROPN,NOUN,8
Ca,PROPN,NOUN,9
Ca,PROPN,NOUN,9
Ca,PROPN,NOUN,11
CALL,PROPN,NOUN,3
CCs,PROPN,NOUN,10
CCs,PROPN,NOUN,0
CEO,PROPN,NOUN,11
Cf,PROPN,NOUN,0
Cf,PROPN,NOUN,8
Cf,PROPN,NOUN,11
cfe,PROPN,NOUN,7
cfe,PROPN,NOUN,11
CP,PROPN,NOUN,1
CP,PROPN,NOUN,4
CPI,PROPN,NOUN,0
CPI,PROPN,NOUN,1
CPI,PROPN,NOUN,1
CPI,PROPN,NOUN,2
CPI,PROPN,NOUN,2
CPI,PROPN,NOUN,2
CPI,PROPN,NOUN,2
CPI,PROPN,NOUN,2
CPI,PROPN,NOUN,3
CPI,PROPN,NOUN,3
CPI,PROPN,NOUN,4
CPI,PROPN,NOUN,4
CPI,PROPN,NOUN,4
CPI,PROPN,NOUN,5
CPI,PROPN,NOUN,5
CPI,PROPN,NOUN,6
CPI,PROPN,NOUN,6
CPI,PROPN,NOUN,7
CPI,PROPN,NOUN,7
CPI,PROPN,NOUN,8
CPI,PROPN,NOUN,8
CPI,PROPN,NOUN,8
CPI,PROPN,NOUN,8
CPI,PROPN,NOUN,8
CPI,PROPN,NOUN,9
CPI,PROPN,NOUN,9
CPI,PROPN,NOUN,9
CPI,PROPN,NOUN,10
CPI,PROPN,NOUN,10
CPI,PROPN,NOUN,10
CPI,PROPN,NOUN,11
CPI,PROPN,NOUN,11
CPI,PROPN,NOUN,12
CPI,PROPN,NOUN,12
CPI,PROPN,NOUN,12
CPI,PROPN,NOUN,12
D,PROPN,NOUN,2
D,PROPN,NOUN,2
D,PROPN,NOUN,3
Dfs,PROPN,NOUN,1
DT,PROPN,NOUN,1
DT,PROPN,NOUN,6
DT,PROPN,NOUN,6
DT,PROPN,NOUN,10
DT,PROPN,NOUN,11
EOD,PROPN,NOUN,0
ETF,PROPN,NOUN,4
ETF,PROPN,NOUN,9
EURUSD,PROPN,NOUN,1
FAD,PROPN,NOUN,1
FAD,PROPN,NOUN,2
FAD,PROPN,NOUN,7
família,PROPN,NOUN,4
Futuros,PROPN,NOUN,11
Incentivo,PROPN,NOUN,3
INTRADAY,PROPN,NOUN,0
Investimento,PROPN,NOUN,12
IPO,PROPN,NOUN,3
IPO,PROPN,NOUN,11
Jcp,PROPN,NOUN,1
JCP,PROPN,NOUN,1
JCP,PROPN,NOUN,4
JCP,PROPN,NOUN,4
Jcp,PROPN,NOUN,6
jcp,PROPN,NOUN,8
JCP,PROPN,NOUN,8
JCP,PROPN,NOUN,9
JCP,PROPN,NOUN,10
JSCP,PROPN,NOUN,2
jscp,PROPN,NOUN,5
jscp,PROPN,NOUN,8
jscp,PROPN,NOUN,9
jscp,PROPN,NOUN,10
LP,PROPN,NOUN,6
LP,PROPN,NOUN,6
LP,PROPN,NOUN,7
LP,PROPN,NOUN,12
LS,PROPN,NOUN,2
LS,PROPN,NOUN,3
LTA,PROPN,NOUN,3
LTA,PROPN,NOUN,6
LTB,PROPN,NOUN,1
LTB,PROPN,NOUN,1
LTB,PROPN,NOUN,2
LTB,PROPN,NOUN,2
LTB,PROPN,NOUN,3
LTB,PROPN,NOUN,7
LTB,PROPN,NOUN,7
LTB,PROPN,NOUN,7
LTB,PROPN,NOUN,12
LTB´s,PROPN,NOUN,11
Max,PROPN,NOUN,11
MBA,PROPN,NOUN,3
MBA,PROPN,NOUN,12
ML,PROPN,NOUN,2
Mm,PROPN,NOUN,2
MM,PROPN,NOUN,4
